pdb_id;len;time;rmsd
6t1z;393;86.55711221694946;27.312981229790363
6uv6;264;50.551177978515625;19.830197490799826
6s44;146;20.795307636260986;18.446718484230885
7d2o;168;23.999688863754272;19.883213279312987
6vqp;8;0.5203680992126465;4.186724375266918
6uf2;125;15.167321920394897;14.041988460654492
6poo;269;46.018736124038696;37.9055800275336
6vr4;2129;2123.4410994052887;59.76238373876653
6n64;-;DNF;inf
6tmm;-;DNF;inf
6vn1;584;54.36142945289612;47.50779959216749
6ya2;-;DNF;inf
6xod;166;7.6612772941589355;20.456614817874307
6px4;141;5.586923837661743;17.67957302709727
7bgl;-;DNF;inf
6y4f;135;6.013148784637451;20.001956405947485
7m7a;529;40.5415575504303;34.00715611980175
6v4v;139;6.0910561084747314;18.443526361812157
6zyc;148;6.2253429889678955;16.006567791950495
6yj1;169;7.163758277893066;17.027920748163375
7m6b;244;12.902595520019531;21.58947976371074
7abw;365;29.04833745956421;30.795753984721795
7jtl;101;3.6731021404266357;15.989353535688902
7m5f;116;4.737528324127197;14.205134920918692
7rej;252;14.770395278930664;24.53285108690587
6r17;56;1.7256391048431396;23.85241496221552
7oc9;133;4.833255290985107;15.924417756379489
6xn8;539;49.04280495643616;39.69902445088363
7cwp;129;5.285378932952881;18.965764423094065
7pk6;-;DNF;inf
6x6o;76;2.5009360313415527;13.045981754614203
7mhu;374;24.404948949813843;31.321189726422105
7k7w;189;9.837335586547852;20.64029218644507
6ygh;193;9.126362562179565;19.191318329762822
