pdb_id;len;time;rmsd
6t1z;393;-;35.089957831728
6uv6;264;-;27.64535233556898
6s44;146;-;20.349591905286772
7d2o;168;-;21.77659972089297
6vqp;8;-;3.34312365811917
6uf2;125;-;17.60098089408469
6poo;269;-;35.70119981133866
6vr4;2129;-;78.09513747278645
6n64;-;DNF;inf
6tmm;-;DNF;inf
6vn1;584;-;57.14880382426337
6ya2;-;DNF;inf
6xod;166;-;16.302786891867644
6px4;141;-;21.445337071169536
7bgl;-;DNF;inf
6y4f;135;-;31.32589062861872
7m7a;529;-;36.08882612998278
6v4v;139;-;19.645963241451692
6zyc;148;-;28.41442587557995
6yj1;169;-;21.827454066504394
7m6b;244;-;20.64452735897713
7abw;365;-;32.45836305481534
7jtl;101;-;18.87118512372901
7m5f;116;-;17.82599951912862
7rej;252;-;26.162787929844527
6r17;56;-;16.26047522611448
7oc9;133;-;20.606673292795783
6xn8;539;-;27.56813902211233
7cwp;129;-;20.574235102502957
7pk6;-;DNF;inf
6x6o;76;-;17.510625780291832
7mhu;374;-;40.20286141047155
7k7w;189;-;23.621602258538115
6ygh;193;-;22.274692384642655
