pdb_id;len;time;rmsd
6t1z;393;262.43;29.99
6uv6;263;78.07;24.21
6s44;146;60.59;18.41
7d2o;168;73.87;19.58
6vqp;292;88.93;23.67
6uf2;125;47.48;14.86
6poo;269;192.15;42.76
6vr4;2129;6333.41;55.1
6n64;166;50.58;19.58
6tmm;-;DNF(.mmcif);inf
6vn1;584;203.17;45.9
6ya2;188;47.56;19.49
6xod;154;72.9;16.84
6px4;72;17.98;11.48
7bgl;-;DNF(.mmcif);inf
6y4f;135;46.92;17.89
7m7a;538;505.32;27.56
6v4v;139;26.7;17.59
6zyc;148;31.51;20.41
6yj1;169;59.61;19.52
7m6b;244;120.94;24.1
7abw;360;408.11;22.12
7jtl;102;27.27;14.83
7m5f;96;16.89;15.88
7rej;324;165.47;29.35
6r17;93;13.21;21.47
7oc9;133;46.5;19.5
6xn8;540;384.64;24.81
7cwp;125;53.74;17.66
7pk6;-;DNF(.mmcif);inf
6x6o;73;15.92;12.35
7mhu;374;354.49;27.21
7k7w;189;44.59;20.26
6ygh;188;86.21;21.25
