pdb_id;len;time;rmsd
6t1z;393;1095.83;27.19
6uv6;263;386.04;22.38
6s44;146;72.16;18.92
7d2o;168;62.66;24.32
6vqp;292;358.84;25.39
6uf2;125;136.67;16.43
6poo;269;364.62;29.67
6vr4;2129;7989.3;51.41
6n64;166;150.62;18.82
6tmm;-;DNF(.mmcif);inf
6vn1;584;473.57;52.19
6ya2;188;192.56;22.35
6xod;154;86.82;17.02
6px4;72;30.91;10.22
7bgl;-;DNF(.mmcif);inf
6y4f;135;136.35;17.38
7m7a;538;1616.28;26.52
6v4v;139;110.24;14.77
6zyc;148;96.94;18.67
6yj1;169;109.25;18.31
7m6b;244;281.35;19.48
7abw;360;345.45;24.75
7jtl;102;78.82;17.13
7m5f;96;46.43;11.55
7rej;324;459.95;28.43
6r17;93;53.1;34.49
7oc9;133;86.37;18.87
6xn8;540;1714.83;28.55
7cwp;125;45.5;18.15
7pk6;-;DNF(.mmcif);inf
6x6o;73;30.99;10.86
7mhu;374;471.91;25.09
7k7w;189;107.16;20.68
6ygh;188;207.73;22.47
